Physical flow account for greenhouse gas emissions c 1 2 3 4 5 6 7 8 9 10 11,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Table: 38-10-0097-01 (formerly CANSIM 153-0114),,,,,,,,,,,
Release date: 2023-12-20,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,Professional and similar organisations  [BS81300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],1,1,1,1,1,1,1,1,1,1
,Non-profit social assistance  [NP62400],12,12,6,6,6,7,6,5,7,7
,"Non-profit arts, entertainment and recreation  [NP71000]",18,17,13,10,13,15,14,10,7,7
,Religious organizations  [NP81310],59,59,50,34,43,31,31,23,25,24
,Miscellaneous non-profit institutions serving households  [NPA0000],64,54,43,49,59,62,62,51,57,54
,Educational services (except universities)  [GS611B0],94,83,89,80,73,77,81,62,63,63
,Universities  [GS61130],94,98,101,100,108,112,120,105,97,95
,Hospitals  [GS62200],94,91,99,72,68,72,85,60,69,64
,Nursing and residential care facilities  [GS62300],8,9,10,8,7,7,8,6,7,7
,Other federal government services  [GS91100],79,83,101,79,75,74,69,67,73,75
,Other provincial and territorial government services  [GS91200],294,97,99,280,287,282,323,264,207,198
,Other municipal government services  [GS91300],481,650,655,650,697,698,795,652,675,646
,Other aboriginal government services  [GS91400],38,32,35,39,42,168,212,222,297,295
,"Total, households","6,013","6,516","6,131","6,095","6,091","6,349","6,514","6,620","5,739","5,783"
,Households: Motor fuels and lubricants,"4,188","4,553","4,170","4,300","4,315","4,402","4,357","4,368","3,706","3,774"
,Households: Electricity and other fuels,"1,825","1,962","1,961","1,795","1,776","1,946","2,157","2,251","2,033","2,009"
Alberta,"Total, industries and households","276,762","285,303","290,011","287,853","270,302","278,551","282,438","282,957","261,640","265,270"
,"Total, industries","258,124","265,387","269,970","269,099","251,288","258,619","261,764","262,314","243,757","247,818"
,Crop and animal production  [BS11A00],"19,362","19,889",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"20,323","20,239","20,215","19,966","20,389","20,386","20,486","20,366"
,Cannabis production (licensed)  [BS111CL],..,..,3,4,0s,0s,3,77,103,108
,Cannabis production (unlicensed)  [BS111CU],..,..,37,37,31,30,27,20,11,11
,Forestry and logging  [BS11300],589,671,589,773,703,709,689,627,654,653
,"Fishing, hunting and trapping  [BS11400]",3,2,2,2,1,2,5,2,2,2
,Support activities for agriculture and forestry  [BS11500],104,68,80,115,124,116,121,127,133,136
,Oil and gas extraction  [BS21100],"124,506","128,443","131,198","132,844","123,852","128,822","136,217","136,430","131,157","135,849"
,Coal mining  [BS21210],714,617,464,442,519,393,426,568,403,364
,Metal ore mining  [BS21220],5,4,5,3,3,5,10,6,5,5
,Non-metallic mineral mining and quarrying  [BS21230],166,196,283,234,234,153,205,244,316,169
,Support activities for mining and oil and gas extraction  [BS21300],"5,210","4,342","5,103","4,962","3,786","4,056","4,770","4,215","2,840","2,930"
,"Electric power generation, transmission and distribution  [BS22110]","47,094","48,242","49,208","51,580","45,769","46,549","36,370","36,223","32,031","27,994"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]","1,213","1,297","1,244","1,381","1,302","1,321","1,396","1,440","1,273","1,353"
,Residential building construction  [BS23A00],112,110,118,107,99,129,127,130,119,116
,Non-residential building construction  [BS23B00],49,42,46,55,63,63,67,73,48,48
,Transportation engineering construction  [BS23C10],168,137,120,130,138,172,174,162,131,125
,Oil and gas engineering construction  [BS23C20],619,591,658,526,592,755,550,680,433,425
,Electric power engineering construction  [BS23C30],42,58,62,32,40,66,56,76,55,53
,Communication engineering construction  [BS23C40],7,6,6,9,13,26,20,20,18,18
,Other engineering construction  [BS23C50],71,81,66,101,119,125,107,112,70,73
,Repair construction  [BS23D00],88,94,116,129,133,152,145,171,131,130
,Other activities of the construction industry  [BS23E00],262,284,284,303,342,375,391,412,347,366
,Animal food manufacturing  [BS31110],41,48,95,47,40,33,40,85,101,99
,Sugar and confectionery product manufacturing  [BS31130],83,108,127,85,104,199,12,76,50,81
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],35,30,16,16,8,17,26,16,27,25
,Dairy product manufacturing  [BS31150],29,28,27,21,22,20,34,38,38,36
,Meat product manufacturing  [BS31160],344,197,200,205,270,191,216,197,192,180
,Seafood product preparation and packaging  [BS31170],1,1,1,0s,0s,1,1,1,0s,0s
,Miscellaneous food manufacturing  [BS311A0],185,289,360,374,336,363,366,463,394,395
,Soft drink and ice manufacturing  [BS31211],33,35,58,52,53,45,45,32,24,25
,Breweries  [BS31212],90,54,50,76,101,63,67,73,78,73
,Wineries and distilleries  [BS3121A],36,57,41,53,78,45,61,42,35,16
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Textile and textile product mills  [BS31A00],5,5,5,6,3,5,5,5,4,4
,Clothing and leather and allied product manufacturing  [BS31B00],4,4,4,4,4,4,5,6,5,5
,Wood product manufacturing  [BS32100] 12,"1,172","1,689","1,797","1,024","1,248","2,402","2,030","2,066","2,266","2,948"
,"Pulp, paper and paperboard mills  [BS32210] 12","6,819","7,834","7,848","6,818","4,483","4,151","6,583","6,491","6,299","6,148"
,Converted paper product manufacturing  [BS32220],9,20,22,23,19,24,21,20,19,18
,Printing and related support activities  [BS32300],34,87,39,37,33,38,41,28,23,22
,Petroleum and coal product manufacturing  [BS32400],"6,620","7,195","7,055","6,615","6,917","7,603","7,292","7,762","6,217","6,984"
,Basic chemical manufacturing  [BS32510],"7,312","6,537","5,333","5,406","5,606","5,946","6,793","6,727","6,560","6,714"
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]","4,444","4,513","4,210","4,633","4,609","4,068","4,009","4,283","4,273","4,325"
,Pharmaceutical and medicine manufacturing  [BS32540],2,4,4,6,5,5,6,7,8,8
,Miscellaneous chemical product manufacturing  [BS325C0] 13,"1,329","1,474","2,342","2,168","1,987","1,257",711,155,573,532
,Plastic product manufacturing  [BS32610],46,82,83,69,119,64,67,83,76,74
,Rubber product manufacturing  [BS32620],12,17,13,21,19,30,11,14,12,12
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],220,251,337,338,323,229,221,219,222,220
,Cement and concrete product manufacturing  [BS32730],"1,670","1,597","1,540","1,539","1,567","1,683","2,037","2,024","1,625","2,102"
,Primary metal manufacturing  [BS33100],420,429,368,433,93,87,139,119,105,89
,Fabricated metal product manufacturing  [BS33200],339,465,396,387,371,254,253,270,261,257
,Machinery manufacturing  [BS33300],263,296,305,285,219,204,258,243,191,183
,Computer and peripheral equipment manufacturing  [BS33410],1,1,1,1,2,1,2,1,1,1
,Electronic product manufacturing  [BS334B0],12,12,14,11,19,14,14,15,15,14
,Electrical  equipment and component manufacturing  [BS335A0],20,17,16,14,14,13,17,14,10,9
,Household appliance manufacturing  [BS33520],1,1,1,2,0s,1,1,1,1,0s
,Motor vehicle manufacturing  [BS33610],20,18,18,12,8,17,38,17,14,11
,Motor vehicle body and trailer manufacturing  [BS33620],13,22,20,14,12,15,13,14,10,9
,Motor vehicle parts manufacturing  [BS33630],7,8,6,7,4,5,9,5,4,3
,Aerospace product and parts manufacturing  [BS33640],3,6,7,4,5,4,4,4,4,3
,Railroad rolling stock manufacturing  [BS33650],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Ship and boat building  [BS33660],1,1,1,1,1,1,2,1,1,1
,Other transportation equipment manufacturing  [BS33690],3,3,3,2,2,4,6,2,2,2
,Furniture and related product manufacturing  [BS33700],39,42,46,44,42,33,39,33,29,29
,Miscellaneous manufacturing  [BS33900],45,63,53,53,44,39,53,44,33,31
,Wholesale trade  [BS41000],"2,925","3,450","3,322","2,489","2,140","2,486","2,612","2,564","2,167","2,304"
,Retail trade  [BS4A000],"1,306","1,489",..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,"1,635","1,313","1,168","1,303","1,572","1,588","1,319","1,423"
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,10,19,21
,Cannabis stores (unlicensed)  [BS453BU],..,..,7,5,5,5,4,3,4,4
,Air transportation  [BS48100],"3,170","3,074","3,251","3,248","3,448","3,310","3,544","3,604","1,507","1,509"
,Rail transportation  [BS48200],877,865,901,862,848,933,963,936,906,833
,Water transportation  [BS48300],4,4,4,3,2,3,6,3,2,2
,Truck transportation  [BS48400],"4,104","3,980","4,277","3,222","2,774","2,697","2,933","3,020","2,562","2,771"
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",695,647,619,555,589,472,525,595,405,392
,Pipeline transportation  [BS48600],"3,004","3,565","3,303","3,527","4,200","4,522","5,087","5,308","5,150","5,704"
,Postal service and couriers and messengers  [BS49A00],277,276,221,290,261,234,234,242,264,269
,Warehousing and storage  [BS49300],17,16,14,13,13,14,14,17,19,20
,Motion picture and sound recording industries  [BS51200],25,21,21,23,21,21,27,32,14,15
,Radio and television broadcasting  [BS51510],6,5,4,5,10,8,4,4,4,4
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",123,118,124,110,165,190,210,190,140,149
,Depository credit intermediation and monetary authorities  [BS52B00],256,261,241,205,208,189,266,245,202,222
,Insurance carriers  [BS52410],26,21,22,21,19,19,22,22,16,17
,Lessors of real estate  [BS53110],"1,171","1,308","1,135",736,755,809,523,443,466,512
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],"1,150","1,184","1,507","1,310",999,"1,136","1,192","1,253","1,021","1,086"
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",605,572,626,575,596,582,623,605,502,536
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",361,361,365,306,277,288,263,285,264,281
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",136,156,158,180,163,165,211,218,183,201
,"Advertising, public relations and related services  [BS54180]",10,14,16,17,17,16,20,21,14,15
,Administrative and support services  [BS56100],386,323,383,434,461,447,484,488,405,427
,Waste management and remediation services  [BS56200],522,471,405,525,407,472,495,500,406,435
,Educational services  [BS61000],57,49,39,44,42,45,71,79,59,65
,Health care and social assistance  [BS62000],149,152,171,161,176,184,232,233,201,216
,"Arts, entertainment and recreation  [BS71000]",24,22,25,28,26,26,27,29,18,19
,Accommodation and food services  [BS72000],242,258,279,238,203,227,245,266,233,249
,Repair and maintenance  [BS81100],623,561,634,547,496,514,551,584,466,490
,Personal services and private households  [BS81A00],68,65,87,107,106,108,97,112,91,96
,Professional and similar organisations  [BS81300],2,2,2,2,3,2,2,2,2,2
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],292,257,228,288,405,413,577,633,507,558
,Non-profit social assistance  [NP62400],17,17,9,8,10,12,13,15,17,18
,"Non-profit arts, entertainment and recreation  [NP71000]",86,86,67,59,69,93,107,124,80,88
,Religious organizations  [NP81310],160,176,142,117,176,90,120,140,122,132
,Miscellaneous non-profit institutions serving households  [NPA0000],346,294,238,261,378,401,515,543,436,476
,Educational services (except universities)  [GS611B0],570,532,498,430,463,495,558,569,454,494
,Universities  [GS61130],264,259,280,278,294,330,372,387,316,343
,Hospitals  [GS62200],126,151,133,130,163,181,230,203,175,193
,Nursing and residential care facilities  [GS62300],12,14,14,12,13,13,14,15,15,16
,Other federal government services  [GS91100],236,275,290,196,403,412,410,405,423,475
,Other provincial and territorial government services  [GS91200],385,86,86,91,121,133,205,195,190,206
,Other municipal government services  [GS91300],"1,117","1,198","1,268","1,172","1,283","1,341","1,607","1,527","1,226","1,335"
,Other aboriginal government services  [GS91400],47,41,43,46,47,117,162,161,199,215
,"Total, households","18,638","19,916","20,041","18,754","19,014","19,932","20,673","20,643","17,883","17,452"
,Households: Motor fuels and lubricants,"9,948","11,184","11,411","10,480","10,337","10,835","11,280","11,484","8,931","8,987"
,Households: Electricity and other fuels,"8,689","8,732","8,630","8,274","8,678","9,097","9,393","9,159","8,952","8,465"
British Columbia,"Total, industries and households","78,678","79,717","80,416","81,233","81,333","82,643","83,426","81,491","72,540","75,003"
,"Total, industries","65,827","66,406","67,350","67,998","67,409","67,915","68,789","66,869","59,295","61,410"
,Crop and animal production  [BS11A00],"2,973","3,115",..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,"3,141","3,396","3,714","3,733","3,985","3,668","3,644","3,603"
,Cannabis production (licensed)  [BS111CL],..,..,1,1,2,2,19,208,183,173
,Cannabis production (unlicensed)  [BS111CU],..,..,29,43,37,29,20,10,5,5
,Forestry and logging  [BS11300],"3,011","3,185","2,936","3,316","2,929","3,272","3,235","2,420","1,865","1,907"
,"Fishing, hunting and trapping  [BS11400]",54,51,78,89,88,101,135,123,124,149
,Support activities for agriculture and forestry  [BS11500],151,153,177,256,263,297,324,284,264,280
,Oil and gas extraction  [BS21100],"12,192","12,568","12,570","11,916","10,952","10,827","11,047","10,247","10,516","9,924"
,Coal mining  [BS21210],"1,886","2,137","1,780","1,865","2,553","2,696","3,038","3,384","3,035","3,013"
,Metal ore mining  [BS21220],430,459,571,575,553,606,621,628,534,537
,Non-metallic mineral mining and quarrying  [BS21230],75,70,68,67,72,66,126,73,133,121
,Support activities for mining and oil and gas extraction  [BS21300],384,314,311,450,395,439,369,315,413,397
,"Electric power generation, transmission and distribution  [BS22110]","1,347","1,529","1,497","1,447","1,659","1,573","1,509","1,427","1,261","1,687"
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",71,79,74,78,77,77,83,90,96,87
,Residential building construction  [BS23A00],184,207,219,254,352,357,399,349,301,331
,Non-residential building construction  [BS23B00],54,54,66,69,64,62,70,74,43,48
,Transportation engineering construction  [BS23C10],129,132,103,137,173,155,166,135,125,138
,Oil and gas engineering construction  [BS23C20],32,35,39,38,54,77,61,111,131,150
,Electric power engineering construction  [BS23C30],132,122,119,154,195,158,188,191,142,161
,Communication engineering construction  [BS23C40],22,13,13,27,38,36,34,27,16,18
,Other engineering construction  [BS23C50],183,106,77,61,96,77,98,139,104,114
,Repair construction  [BS23D00],81,53,68,70,82,80,82,78,66,72
,Other activities of the construction industry  [BS23E00],70,67,69,90,107,98,101,94,75,79
,Animal food manufacturing  [BS31110],23,26,28,22,27,26,65,68,74,38
,Sugar and confectionery product manufacturing  [BS31130],60,48,64,61,51,56,37,20,57,57
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],19,16,15,23,18,24,13,14,18,17
,Dairy product manufacturing  [BS31150],25,16,13,14,42,28,25,26,28,26
,Meat product manufacturing  [BS31160],66,90,103,115,79,96,69,99,140,136
,Seafood product preparation and packaging  [BS31170],7,5,11,15,13,22,13,11,8,9
,Miscellaneous food manufacturing  [BS311A0],66,92,112,91,90,72,88,91,106,108
,Soft drink and ice manufacturing  [BS31211],19,18,19,27,30,27,29,23,16,18
,Breweries  [BS31212],44,51,66,64,36,38,40,37,60,54
,Wineries and distilleries  [BS3121A],7,10,25,18,18,19,18,17,22,22
,Tobacco manufacturing  [BS31220],0s,0s,0s,0s,0s,0s,0s,1,1,1
,Textile and textile product mills  [BS31A00],5,6,3,6,6,6,7,11,9,9
,Clothing and leather and allied product manufacturing  [BS31B00],3,4,4,5,8,5,4,5,6,6
,Wood product manufacturing  [BS32100] 12,"3,436","3,981","3,511","3,395","3,115","3,278","3,451","3,162","2,743","2,730"
,"Pulp, paper and paperboard mills  [BS32210] 12","16,964","16,137","18,009","18,354","17,120","16,564","16,537","16,723","14,596","15,834"
,Converted paper product manufacturing  [BS32220],13,47,26,37,28,31,11,18,17,18
,Printing and related support activities  [BS32300],18,18,29,19,33,34,26,27,17,16
,Petroleum and coal product manufacturing  [BS32400],625,558,591,600,676,797,474,550,452,533
,Basic chemical manufacturing  [BS32510],56,47,38,37,57,81,80,121,153,166
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",15,9,10,9,18,22,15,8,10,12
,Pharmaceutical and medicine manufacturing  [BS32540],3,3,6,19,16,3,4,5,5,4
,Miscellaneous chemical product manufacturing  [BS325C0] 13,24,29,25,28,45,41,36,41,39,38
,Plastic product manufacturing  [BS32610],31,56,47,53,66,63,55,61,46,44
,Rubber product manufacturing  [BS32620],10,14,19,17,21,12,10,11,11,10
,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],276,247,265,295,185,188,167,158,159,165
,Cement and concrete product manufacturing  [BS32730],"1,502","1,475","1,777","1,963","2,167","2,261","2,376","1,751","1,305","1,324"
,Primary metal manufacturing  [BS33100],824,800,732,652,"1,165","1,189","1,147","1,144","1,040",905
,Fabricated metal product manufacturing  [BS33200],82,102,105,141,148,119,122,154,138,140
,Machinery manufacturing  [BS33300],58,66,47,56,67,61,49,53,43,41
,Computer and peripheral equipment manufacturing  [BS33410],2,2,2,2,3,1,0s,1,0s,0s
,Electronic product manufacturing  [BS334B0],6,10,7,21,21,6,6,7,6,6
,Electrical  equipment and component manufacturing  [BS335A0],13,16,13,16,21,14,18,21,17,16
,Household appliance manufacturing  [BS33520],1,1,1,1,1,1,0s,1,1,1
,Motor vehicle manufacturing  [BS33610],12,14,14,11,11,8,3,8,8,7
,Motor vehicle body and trailer manufacturing  [BS33620],6,8,9,13,15,11,11,7,6,5
,Motor vehicle parts manufacturing  [BS33630],12,17,11,13,14,11,33,35,19,17
,Aerospace product and parts manufacturing  [BS33640],5,9,9,5,7,9,5,5,3,3
,Railroad rolling stock manufacturing  [BS33650],0s,2,0s,1,1,0s,1,1,1,0s
,Ship and boat building  [BS33660],5,7,7,9,8,15,9,9,9,8
,Other transportation equipment manufacturing  [BS33690],2,3,3,3,3,2,1,2,2,2
,Furniture and related product manufacturing  [BS33700],22,36,34,36,50,35,36,38,31,30
,Miscellaneous manufacturing  [BS33900],24,33,24,33,49,31,33,29,28,27
,Wholesale trade  [BS41000],607,688,688,640,716,693,736,747,665,767
,Retail trade  [BS4A000],723,874,..,..,..,..,..,..,..,..
,Retail trade (except cannabis)  [BS4AA00],..,..,887,866,925,939,931,974,978,"1,098"
,Cannabis stores (licensed)  [BS453BL],..,..,0,0,0,0,0s,3,7,8
,Cannabis stores (unlicensed)  [BS453BU],..,..,7,7,8,7,6,5,6,8
,Air transportation  [BS48100],"3,839","4,049","4,184","4,359","4,522","4,451","4,514","4,553","1,919","1,919"
,Rail transportation  [BS48200],"1,457","1,443","1,428","1,391","1,341","1,419","1,590","1,696","1,686","1,662"
,Water transportation  [BS48300],"2,559","2,259","2,035","1,814",860,883,590,565,468,577
,Truck transportation  [BS48400],"2,430","2,304","2,310","2,041","2,069","2,184","2,327","2,164","1,912","2,074"
,"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation  [BS48B00]",593,524,489,483,558,582,623,701,480,502
,Pipeline transportation  [BS48600],874,"1,118","1,099","1,365","1,435","1,481","1,406","1,437","1,381","1,366"
,Postal service and couriers and messengers  [BS49A00],208,210,186,258,295,298,373,380,349,402
,Warehousing and storage  [BS49300],69,78,75,80,93,91,78,87,103,123
,Motion picture and sound recording industries  [BS51200],39,43,49,62,86,118,96,110,65,69
,Radio and television broadcasting  [BS51510],4,3,3,3,5,4,3,2,2,2
,"Publishing, pay/specialty services, telecommunications and other information services  [BS51B00]",84,95,92,80,117,120,152,158,150,179
,Depository credit intermediation and monetary authorities  [BS52B00],116,140,132,105,118,116,95,84,126,135
,Insurance carriers  [BS52410],18,12,14,12,11,10,8,9,4,4
,Lessors of real estate  [BS53110],631,421,473,540,560,589,731,631,530,555
,Owner-occupied dwellings  [BS5311A],0,0,0,0,0,0,0,0,0,0
,Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)  [BS53B00],222,215,216,204,238,242,246,259,225,251
,"Other finance, insurance and real estate services and management of companies and enterprises  [BS5A000]",423,387,432,398,455,447,351,322,366,389
,"Legal, accounting and architectural, engineering and related services  [BS541C0]",124,142,144,144,160,143,136,173,178,196
,"Computer systems design and other professional, scientific and technical services  [BS541D0]",81,103,97,92,105,94,77,99,87,91
,"Advertising, public relations and related services  [BS54180]",10,11,13,13,15,13,12,12,11,11
,Administrative and support services  [BS56100],200,174,190,201,235,245,253,258,251,270
,Waste management and remediation services  [BS56200],301,300,108,119,144,134,168,179,182,227
,Educational services  [BS61000],19,22,18,20,22,28,24,24,32,33
,Health care and social assistance  [BS62000],184,175,191,160,169,169,159,137,158,166
,"Arts, entertainment and recreation  [BS71000]",34,33,34,30,34,35,33,34,23,24
,Accommodation and food services  [BS72000],176,208,238,245,275,288,306,352,288,340
,Repair and maintenance  [BS81100],239,195,209,192,218,210,219,227,203,225
,Personal services and private households  [BS81A00],39,38,43,45,48,51,50,52,40,44
,Professional and similar organisations  [BS81300],1,1,1,1,1,1,1,1,1,1
,Repair and maintenance  [FC11000],0,0,0,0,0,0,0,0,0,0
,Operating supplies  [FC12000],0,0,0,0,0,0,0,0,0,0
,Office supplies  [FC13000],0,0,0,0,0,0,0,0,0,0
,"Advertising, promotion, meals, entertainment, and travel  [FC20000]",0,0,0,0,0,0,0,0,0,0
,Transportation margins  [FC30000],0,0,0,0,0,0,0,0,0,0
,Non-profit education services  [NP61000],60,58,46,39,49,51,41,44,60,63
,Non-profit social assistance  [NP62400],33,33,16,15,17,19,14,15,25,26
,"Non-profit arts, entertainment and recreation  [NP71000]",38,39,31,39,39,52,41,32,46,49
,Religious organizations  [NP81310],133,128,88,65,76,41,35,39,44,46
,Miscellaneous non-profit institutions serving households  [NPA0000],157,143,112,98,115,134,104,106,142,150
,Educational services (except universities)  [GS611B0],40,34,37,32,32,35,31,28,31,32
,Universities  [GS61130],356,366,373,309,347,396,381,373,431,451
,Hospitals  [GS62200],107,184,180,165,211,231,235,214,231,253
,Nursing and residential care facilities  [GS62300],18,18,17,14,12,15,12,10,15,16
,Other federal government services  [GS91100],107,120,90,144,172,213,214,230,204,249
,Other provincial and territorial government services  [GS91200],113,22,22,52,78,71,68,107,69,75
,Other municipal government services  [GS91300],482,393,383,337,396,392,395,415,448,517
,Other aboriginal government services  [GS91400],29,28,26,23,24,58,83,168,150,172
,"Total, households","12,851","13,311","13,066","13,236","13,924","14,728","14,637","14,622","13,245","13,592"
,Households: Motor fuels and lubricants,"8,084","8,641","8,632","8,997","9,472","9,684","9,869","9,670","8,234","8,462"
,Households: Electricity and other fuels,"4,767","4,670","4,434","4,238","4,452","5,045","4,768","4,952","5,011","5,130"
Yukon,"Total, industries and households",709,632,488,520,521,551,618,659,567,620
,"Total, industries",560,484,361,391,393,412,471,499,427,494
,Crop and animal production  [BS11A00],5,3,..,..,..,..,..,..,..,..
,Crop and animal production (except cannabis)  [BS11B00],..,..,2,4,4,4,3,6,8,8
,Cannabis production (licensed)  [BS111CL],..,..,0,0,0,0,0,0,0,0
,Cannabis production (unlicensed)  [BS111CU],..,..,0,0,0,0,0,0,0,0
,Forestry and logging  [BS11300],6,2,2,2,2,3,3,3,3,4
,"Fishing, hunting and trapping  [BS11400]",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Support activities for agriculture and forestry  [BS11500],1,1,1,1,1,0s,0s,1,1,1
,Oil and gas extraction  [BS21100],56,20,8,1,0s,0s,0s,0s,0s,0s
,Coal mining  [BS21210],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Metal ore mining  [BS21220],90,90,73,52,69,89,112,27,32,39
,Non-metallic mineral mining and quarrying  [BS21230],2,3,2,1,1,2,2,2,3,4
,Support activities for mining and oil and gas extraction  [BS21300],36,34,10,40,17,28,42,131,97,135
,"Electric power generation, transmission and distribution  [BS22110]",18,17,17,18,19,24,33,48,54,42
,"Natural gas distribution, water, sewage and other systems  [BS221A0]",0s,0s,0,0,0,0,1,1,1,1
,Residential building construction  [BS23A00],2,1,1,1,2,2,1,2,2,2
,Non-residential building construction  [BS23B00],0s,0s,0s,1,1,1,1,1,1,1
,Transportation engineering construction  [BS23C10],3,3,2,1,1,2,1,2,2,3
,Oil and gas engineering construction  [BS23C20],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Electric power engineering construction  [BS23C30],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Communication engineering construction  [BS23C40],0s,0s,0s,0s,1,0s,0s,0s,0s,0s
,Other engineering construction  [BS23C50],2,1,1,1,1,1,4,3,1,1
,Repair construction  [BS23D00],1,1,1,1,2,2,2,2,2,2
,Other activities of the construction industry  [BS23E00],2,2,2,2,3,2,3,3,3,3
,Animal food manufacturing  [BS31110],0s,0s,0s,0,0,0,0,0s,0s,0s
,Sugar and confectionery product manufacturing  [BS31130],0s,0s,0,0,0,0,0,0,0,0s
,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Dairy product manufacturing  [BS31150],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Meat product manufacturing  [BS31160],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Seafood product preparation and packaging  [BS31170],0s,0s,0s,0,0,0,0s,0s,0s,0s
,Miscellaneous food manufacturing  [BS311A0],1,1,0s,0s,0s,0s,0s,0s,0s,0s
,Soft drink and ice manufacturing  [BS31211],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Breweries  [BS31212],0s,0,0s,0s,0s,0s,0s,0,0,0
,Wineries and distilleries  [BS3121A],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
,Tobacco manufacturing  [BS31220],0,0,0,0,0,0,0,0,0,0
,Textile and textile product mills  [BS31A00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Clothing and leather and allied product manufacturing  [BS31B00],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Wood product manufacturing  [BS32100] 12,1,0s,0s,0s,0s,0s,0s,0s,0s,0s
,"Pulp, paper and paperboard mills  [BS32210] 12",0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Converted paper product manufacturing  [BS32220],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Printing and related support activities  [BS32300],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Petroleum and coal product manufacturing  [BS32400],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Basic chemical manufacturing  [BS32510],0s,0s,0s,0s,0,0s,0s,1,5,5
,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",0s,0s,0s,0,0,0,0,0s,0s,0s
,Pharmaceutical and medicine manufacturing  [BS32540],0,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Miscellaneous chemical product manufacturing  [BS325C0] 13,0s,0s,0s,1,1,1,1,1,1,1
,Plastic product manufacturing  [BS32610],0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
,Rubber product manufacturing  [BS32620],0s,0s,0s,0s,0,0s,0s,0s,0s,0s
